Description,Rate,Amount,Month,Quantity
AdSpring Impressions Fee (CPM): Nosey inventory split on Roku,0.7,8510,Oct_2021,12157.138
AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-mx,0.7,7.13,Oct_2021,10.185
AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-br,0.7,3.26,Oct_2021,4.66
AdSpring Impressions Fee (CPM): RealNosey inventory split on Roku,0.7,5149.41,Oct_2021,7356.301
Streaming (GB) Video Producer: Nosey on Plex,0.0042,655.87,Oct_2021,156160.3974
Streaming (GB) Video Producer: Nosey on Roku,0.0042,5218.96,Oct_2021,1242609.382
Streaming (GB) Video Producer: Nosey on Samsung,0.0042,3621.98,Oct_2021,862376.5574
Streaming (GB) Video Producer: NoseyEscandalos on Samsung-br,0.0042,358.58,Oct_2021,85376.4031
Streaming (GB) Video Producer: NoseyEscandalos on Plex,0.0042,12.15,Oct_2021,2892.7383
Streaming (GB) Video Producer: NoseyEscandalos on Samsung-mx,0.0042,458.43,Oct_2021,109149.0639
Streaming (GB) Video Producer: RealNosey on Roku,0.0042,3297.65,Oct_2021,785154.7964
Streaming (GB) Video Producer: RealNosey on Plex,0.0042,135.13,Oct_2021,32174.6789
Active Connector:  Nosey on Vizio HLS Connector.,800,800,Oct_2021,1
Active Connector:  NoseyEscandalos on Plex HLS Connector.,800,800,Oct_2021,1
Active Connector:  NoseyEscandalos on Samsung-br HLS Connector.,800,800,Oct_2021,1
Active Connector:  NoseyEscandalos on Samsung-mx HLS Connector.,800,800,Oct_2021,1
Active Connector:  RealNosey on Vizio HLS Connector.,800,800,Oct_2021,1
Active Connector: Nosey on Xumo (VOD2) - XUMO (VOD2),400,400,Oct_2021,1
Active Connector:  Nosey on Samsung HLS Connector.,0,0,Oct_2021,0
Active Connector:  Nosey on Roku HLS Connector.,0,0,Oct_2021,0
Active Connector:  Nosey on Plex HLS Connector.,0,0,Oct_2021,0
Active Connector:  RealNosey on Plex HLS Connector.,0,0,Oct_2021,0
Active Connector:  RealNosey on Roku HLS Connector.,0,0,Oct_2021,0
Package Fee (Level 2):  Monthly Fee HLS Connector.,3750,3750,Oct_2021,1
AdSpring Impressions Fee (CPM): Nosey inventory split on Roku,0.61005,10847.74,Nov_2021,17781.723
AdSpring Impressions Fee (CPM): NoseyEscandalos inventory split on Roku,0.61005,269.17,Nov_2021,441.227
AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-mx,0.61005,18.38,Nov_2021,30.133
AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-br,0.61005,5.12,Nov_2021,8.385
AdSpring Impressions Fee (CPM): RealNosey inventory split on Roku,0.61005,7679.67,Nov_2021,12588.592
Streaming (GB) Video Producer: Nosey on Samsung,0.0042,3339.24,Nov_2021,795056.9429
Streaming (GB) Video Producer: Nosey on Roku,0.0042,5318.81,Nov_2021,1266382.52
Streaming (GB) Video Producer: Nosey on Plex,0.0042,619.72,Nov_2021,147552.2975
Streaming (GB) Video Producer: NoseyEscandalos on Roku,0.0042,217.38,Nov_2021,51756.1669
Streaming (GB) Video Producer: NoseyEscandalos on Samsung-mx,0.0042,418,Nov_2021,99522.7831
Streaming (GB) Video Producer: NoseyEscandalos on Plex,0.0042,16.86,Nov_2021,4015.1328
Streaming (GB) Video Producer: NoseyEscandalos on Samsung-br,0.0042,379.71,Nov_2021,90407.3245
Streaming (GB) Video Producer: RealNosey on Roku,0.0042,3962.48,Nov_2021,943446.9136
Streaming (GB) Video Producer: RealNosey on Plex,0.0042,160.2,Nov_2021,38143.5619
Active Connector:  Nosey on Vizio HLS Connector.,800,800,Nov_2021,1
Active Connector:  NoseyEscandalos on Samsung-mx HLS Connector.,800,800,Nov_2021,1
Active Connector:  NoseyEscandalos on Roku HLS Connector.,800,0,Nov_2021,0
Active Connector:  NoseyEscandalos on Plex HLS Connector.,800,800,Nov_2021,1
Active Connector:  NoseyEscandalos on Samsung-br HLS Connector.,800,800,Nov_2021,1
Active Connector:  RealNosey on Vizio HLS Connector.,800,800,Nov_2021,1
Active Connector: Nosey on Xumo (VOD2) - XUMO (VOD2),400,400,Nov_2021,1
Active Connector:  Nosey on Samsung HLS Connector.,0,0,Nov_2021,0
Active Connector:  Nosey on Roku HLS Connector.,0,0,Nov_2021,0
Active Connector:  Nosey on Plex HLS Connector.,0,0,Nov_2021,0
Active Connector:  RealNosey on Roku HLS Connector.,0,0,Nov_2021,0
Active Connector:  RealNosey on Plex HLS Connector.,0,0,Nov_2021,0
Package Fee (Level 2):  Monthly Fee HLS Connector.,3750,3750,Nov_2021,1
AdSpring Impressions Fee (CPM): Nosey inventory split on Roku,0.581,8871.66,Dec_2021,15269.647
AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-mx,0.581,38.92,Dec_2021,66.988
AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-br,0.581,5.63,Dec_2021,9.694
AdSpring Impressions Fee (CPM): NoseyEscandalos inventory split on Roku,0.581,486.16,Dec_2021,836.767
AdSpring Impressions Fee (CPM): RealNosey inventory split on Roku,0.581,7211.03,Dec_2021,12411.411
Streaming (GB) Video Producer: Nosey on Plex,0.0042,563.33,Dec_2021,134125.0094
Streaming (GB) Video Producer: Nosey on Samsung,0.0042,3396.84,Dec_2021,808772.2206
Streaming (GB) Video Producer: Nosey on Roku,0.0042,5167.06,Dec_2021,1230251.623
Streaming (GB) Video Producer: NoseyEscandalos on Samsung-br,0.0042,445.83,Dec_2021,106149.2709
Streaming (GB) Video Producer: NoseyEscandalos on Plex,0.0042,19.73,Dec_2021,4697.4024
Streaming (GB) Video Producer: NoseyEscandalos on Samsung-mx,0.0042,394.39,Dec_2021,93902.9203
Streaming (GB) Video Producer: NoseyEscandalos on Roku,0.0042,424.9,Dec_2021,101165.9726
Streaming (GB) Video Producer: RealNosey on Roku,0.0042,4090.31,Dec_2021,973883.4613
Streaming (GB) Video Producer: RealNosey on Plex,0.0042,148.33,Dec_2021,35316.7828
Active Connector:  Nosey on Vizio HLS Connector.,800,800,Dec_2021,1
Active Connector:  NoseyEscandalos on Roku HLS Connector.,800,800,Dec_2021,1
Active Connector:  NoseyEscandalos on Samsung-br HLS Connector.,800,800,Dec_2021,1
Active Connector:  NoseyEscandalos on Samsung-mx HLS Connector.,800,800,Dec_2021,1
Active Connector:  NoseyEscandalos on Plex HLS Connector.,800,800,Dec_2021,1
Active Connector:  RealNosey on Vizio HLS Connector.,800,800,Dec_2021,1
Active Connector: Nosey on Xumo (VOD2) - XUMO (VOD2),400,400,Dec_2021,1
Active Connector:  Nosey on Plex HLS Connector.,0,0,Dec_2021,0
Active Connector:  Nosey on Roku HLS Connector.,0,0,Dec_2021,0
Active Connector:  Nosey on Samsung HLS Connector.,0,0,Dec_2021,0
Active Connector:  RealNosey on Plex HLS Connector.,0,0,Dec_2021,0
Active Connector:  RealNosey on Roku HLS Connector.,0,0,Dec_2021,0
Package Fee (Level 2):  Monthly Fee HLS Connector.,3750,3750,Dec_2021,1
AdSpring Impressions Fee (CPM): Nosey inventory split on Roku,0.61005,10847.74,Nov_2021,17781.723
AdSpring Impressions Fee (CPM): NoseyEscandalos inventory split on Roku,0.61005,269.17,Nov_2021,441.227
AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-mx,0.61005,18.38,Nov_2021,30.133
AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-br,0.61005,5.12,Nov_2021,8.385
AdSpring Impressions Fee (CPM): RealNosey inventory split on Roku,0.61005,7679.67,Nov_2021,12588.592
Streaming (GB) Video Producer: Nosey on Samsung,0.0042,3339.24,Nov_2021,795056.9429
Streaming (GB) Video Producer: Nosey on Roku,0.0042,5318.81,Nov_2021,1266382.52
Streaming (GB) Video Producer: Nosey on Plex,0.0042,619.72,Nov_2021,147552.2975
Streaming (GB) Video Producer: NoseyEscandalos on Roku,0.0042,217.38,Nov_2021,51756.1669
Streaming (GB) Video Producer: NoseyEscandalos on Samsung-mx,0.0042,418,Nov_2021,99522.7831
Streaming (GB) Video Producer: NoseyEscandalos on Plex,0.0042,16.86,Nov_2021,4015.1328
Streaming (GB) Video Producer: NoseyEscandalos on Samsung-br,0.0042,379.71,Nov_2021,90407.3245
Streaming (GB) Video Producer: RealNosey on Roku,0.0042,3962.48,Nov_2021,943446.9136
Streaming (GB) Video Producer: RealNosey on Plex,0.0042,160.2,Nov_2021,38143.5619
Active Connector:  Nosey on Vizio HLS Connector.,800,800,Nov_2021,1
Active Connector:  NoseyEscandalos on Samsung-mx HLS Connector.,800,800,Nov_2021,1
Active Connector:  NoseyEscandalos on Roku HLS Connector.,800,0,Nov_2021,0
Active Connector:  NoseyEscandalos on Plex HLS Connector.,800,800,Nov_2021,1
Active Connector:  NoseyEscandalos on Samsung-br HLS Connector.,800,800,Nov_2021,1
Active Connector:  RealNosey on Vizio HLS Connector.,800,800,Nov_2021,1
Active Connector: Nosey on Xumo (VOD2) - XUMO (VOD2),400,400,Nov_2021,1
Active Connector:  Nosey on Samsung HLS Connector.,0,0,Nov_2021,0
Active Connector:  Nosey on Roku HLS Connector.,0,0,Nov_2021,0
Active Connector:  Nosey on Plex HLS Connector.,0,0,Nov_2021,0
Active Connector:  RealNosey on Roku HLS Connector.,0,0,Nov_2021,0
Active Connector:  RealNosey on Plex HLS Connector.,0,0,Nov_2021,0
Package Fee (Level 2):  Monthly Fee HLS Connector.,3750,3750,Nov_2021,1